"participant","date","direction test","start landmark","facing landmark","target landmark","bearing","actual direction","abs error","same or different route"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","Golledge Hall","44","51.85616181338527","7.856161813385256","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","Harris Hall","14","173.2852643263074","159.2852643263074","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","Lynch Station","28","156.23556254554433","128.23556254554433","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","Sauer Center","41","20.69981415519987","20.30018584480013","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","Snow Church","53","38.78279808560637","14.217201914393627","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","Batty House","116","171.00866513563622","55.00866513563619","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","Golledge Hall","116","67.30353066020724","48.696469339792756","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","Harvey House","6","147.24819099679664","141.24819099679664","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","Lynch Station","Tobler Museum","30","37.308021981292235","7.308021981292256","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","Lynch Station","Harris Hall","30","37.52863730402908","7.5286373040290755","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","Lynch Station","Golledge Hall","4","51.76768153806619","47.7676815380662","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","Lynch Station","Harvey House","82","93.19423765817854","11.194237658178508","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","Lynch Station","Snow Church","65","48.199475530819626","16.800524469180374","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","Lynch Station","Sauer Center","65","30.33169509747685","34.66830490252315","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","Lynch Station","Lynch Station","148","47.3279838915145","100.67201610848551","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","Harris Hall","Batty House","70","130.6542463331721","60.65424633317207","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","Harris Hall","Harvey House","1","48.195938013595914","47.195938013595935","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","Harris Hall","Harris Hall","28","7.021704670907995","20.978295329092006","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","Harris Hall","Tobler Museum","109","17.95076442063424","91.04923557936576","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","Harris Hall","Sauer Center","135","29.209033423777644","105.79096657622236","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","Harris Hall","Golledge Hall","8","3.3238637380609717","4.676136261939028","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","Harris Hall","Snow Church","76","8.968174613078455","67.03182538692154","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","Harvey House","Tobler Museum","4","99.95984558186653","95.95984558186655","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","Harvey House","Golledge Hall","71","77.71082192465417","6.710821924654169","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","Harvey House","Sauer Center","71","110.65743363432563","39.65743363432563","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","Harvey House","Snow Church","95","84.72811220292519","10.271887797074811","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","Harvey House","Lynch Station","121","114.56279427841685","6.437205721583155","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","Harvey House","Batty House","121","83.35216568459657","37.64783431540343","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","Harvey House","Harvey House","69","2.1467969036293297","66.85320309637066","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","Harris Hall","Sauer Center","56","46.2920539630187","9.707946036981298","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","Harris Hall","Golledge Hall","56","64.95302540271733","8.953025402717344","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","Harris Hall","Snow Church","15","66.19140237525873","51.19140237525875","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","Harris Hall","Lynch Station","15","32.282464292919585","17.2824642929196","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","Harris Hall","Batty House","57","46.546899122186026","10.453100877813974","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","Harris Hall","Tobler Museum","61","42.146158627272044","18.853841372727956","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","Harris Hall","Harris Hall","56","4.196894849005717","51.803105150994284","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Snow Church","Harvey House","28","139.9309367825621","111.9309367825621","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Snow Church","Lynch Station","28","173.9683139144772","145.9683139144772","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Snow Church","Sauer Center","129","76.21088344473236","52.78911655526764","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Snow Church","Snow Church","178","1.2041344013641102","176.79586559863588","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Snow Church","Harris Hall","178","176.20228061379694","1.797719386203056","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Snow Church","Tobler Museum","74","147.02844706156864","73.02844706156861","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Snow Church","Batty House","47","173.56946174631722","126.56946174631722","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","Sauer Center","Batty House","146","90.64700941659355","55.35299058340645","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","Sauer Center","Tobler Museum","146","63.69277616633406","82.30722383366594","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","Sauer Center","Lynch Station","174","79.44851915391443","94.55148084608557","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","Sauer Center","Sauer Center","53","0.27926235158294926","52.72073764841705","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","Sauer Center","Harvey House","123","119.69295786010949","3.3070421398905125","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","Sauer Center","Golledge Hall","123","125.84311454991943","2.8431145499194486","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","Sauer Center","Harris Hall","147","88.09346154480706","58.906538455192944","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","Tobler Museum","Lynch Station","75","17.76205492025987","57.23794507974013","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","Tobler Museum","Tobler Museum","75","2.713388186025341","72.28661181397466","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","Tobler Museum","Golledge Hall","11","51.85616181338527","40.856161813385256","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","Tobler Museum","Harris Hall","11","4.240040563502388","6.759959436497612","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","Tobler Museum","Batty House","103","6.744508622348706","96.2554913776513","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","Tobler Museum","Harvey House","48","23.091344032837192","24.908655967162808","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","Tobler Museum","Snow Church","74","89.63525725921563","15.63525725921562","same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Tobler Museum","Sauer Center","Harris Hall","105","173.2852643263074","68.28526432630741","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Tobler Museum","Sauer Center","Batty House","17","171.00866513563622","154.00866513563622","different"
"Utah_104","2017-06-26 10:13:02 -0700","0","Tobler Museum","Sauer Center","Sauer Center","104","20.69981415519987","83.30018584480013","same"
